RouteName,StartFinish
R1,"A1, B1"
R2,"A2, E2"
R3,"B1, C1"
R4,"B1, F1"
R5,"B2, A2"
R6,"B2, C1"
R7,"B3, A2"
R8,"B3, F2"
R9,"C1, G2"
R10,"C1, D1"
R11,"C2, D1"
R12,"C2, B3"
R13,"C3, G2"
R14,"C3, B3"
R15,"D1, H2"
R16,"D2, C3"
R17,"E1, A1"
R18,"E2, I1"
R19,"F1, G1"
R20,"F1, B2"
R21,"F1, E2"
R22,"F2, E2"
R23,"F2, G2"
R24,"F2, K2"
R25,"G1, C2"
R26,"G1, H1"
R27,"G1, L2"
R28,"G2, H1"
R29,"G2, L2"
R30,"H1, D2"
R31,"H1, M2"
R32,"H2, M2"
R33,"I1, J1"
R34,"I2, E1"
R35,"I2, J1"
R36,"J1, P2"
R37,"J1, P1"
R38,"K1, Q1"
R39,"K1, F1"
R40,"K1, J1"
R41,"K2, J1"
R42,"K2, Q1"
R43,"K3, Q1"
R44,"K3, F1"
R45,"K3, J1"
R46,"L1, G1"
R47,"L1, K3"
R48,"L2, K3"
R49,"L2, R1"
R50,"L3, G1"
R51,"L3, K3"
R52,"L3, R1"
R53,"M1, L3"
R54,"M1, H1"
R55,"M2, S1"
R56,"M2, L3"
R57,"N1, T2"
R58,"N1, I2"
R59,"O1, N1"
R60,"P1, O1"
R61,"P2, O1"
R62,"P2, Q4"
R63,"Q1, R4"
R64,"Q1, X2"
R65,"Q1, P1"
R66,"Q2, X2"
R67,"Q2, P1"
R68,"Q2, K1"
R69,"Q3, K1"
R70,"Q3, P1"
R71,"Q3, R4"
R72,"Q4, K1"
R73,"Q4, X2"
R74,"Q4, R4"
R75,"R1, S4"
R76,"R1, Y2"
R77,"R1, Q2"
R78,"R2, Q2"
R79,"R2, Y2"
R80,"R2, L1"
R81,"R3, Q2"
R82,"R3, L1"
R83,"R3, S4"
R84,"R4, L1"
R85,"R4, S4"
R86,"R4, Y2"
R87,"S1, Z2"
R88,"S1, R2"
R89,"S3, M1"
R90,"S3, R2"
R91,"S4, M1"
R92,"S4, Z2"
R93,"T1, I2"
R94,"T1, V1"
R95,"T2, V1"
R96,"U1, I2"
R97,"V1, W1"
R98,"V1, AA1"
R99,"V2, AA1"
R100,"V2, U1"
R101,"W1, O1"
R102,"W1, X1"
R103,"W2, V2"
R104,"W2, O1"
R105,"W2, X1"
R106,"W3, V2"
R107,"W3, O1"
R108,"X1, Q3"
R109,"X1, Y1"
R110,"X1, CC3"
R111,"X2, Y1"
R112,"X2, CC3"
R113,"X2, W3"
R114,"X3, CC3"
R115,"X3, W3"
R116,"X3, Q3"
R117,"X4, W3"
R118,"X4, Q3"
R119,"X4, Y1"
R120,"Y1, R3"
R121,"Y1, Z1"
R122,"Y1, DD3"
R123,"Y2, Z1"
R124,"Y2, DD3"
R125,"Y2, X3"
R126,"Y3, X3"
R127,"Y3, R3"
R128,"Y3, DD3"
R129,"Y4, R3"
R130,"Y4, Z1"
R131,"Y4, X3"
R132,"Z1, S3"
R133,"Z1, EE2"
R134,"Z2, EE2"
R135,"Z2, Y3"
R136,"Z3, S3"
R137,"Z3, Y3"
R138,"AA1, BB1"
R139,"AA2, AA3"
R140,"AA3, T1"
R141,"BB1, W2"
R142,"BB1, CC1"
R143,"BB2, AA2"
R144,"BB2, W2"
R145,"CC1, X4"
R146,"CC1, DD1"
R147,"CC2, BB2"
R148,"CC2, X4"
R149,"CC3, BB2"
R150,"CC3, DD1"
R151,"DD1, Y4"
R152,"DD1, EE1"
R153,"DD2, Y4"
R154,"DD2, CC2"
R155,"DD3, EE1"
R156,"DD3, CC2"
R157,"EE1, Z3"
R158,"EE2, DD2"